gp_code,inbound,answer_rate,abandon_rate
J81013,5925.0,87.25738396624473,3.3248945147679323
J81017,3040.0,58.05921052631579,13.289473684210526
J81019,9301.0,40.79131276206859,10.59025911192345
J81030,4470.0,80.44742729306488,1.45413870246085
J81033,7589.0,66.0034260113322,11.424430096191857
J81042,4651.0,64.54525908406794,10.062352182326382
J81046,7923.0,77.0541461567588,7.9262905465101605
J81057,12541.0,38.71302129016825,24.463758870903437
J81058,9023.0,68.5913775906018,4.721267870996343
J81059,5064.0,42.930489731437596,13.684834123222748
J81061,4954.0,48.2438433589019,12.272910779168349
J81064,2992.0,65.24064171122994,12.266042780748663
J81067,3839.0,45.06381870278718,8.43969783797864
J81072,7152.0,59.73154362416108,15.422259507829978
J81073,8760.0,75.44520547945206,6.712328767123288
J81076,8913.0,38.12408841018737,11.20834735779199
J81077,4153.0,36.744522032265834,9.174091018540814
J81081,5878.0,42.76964954066009,11.1772711806737
J81082,5379.0,51.62669641197249,9.499907045919317
J81087,5722.0,72.80671094023069,9.210066410346032
J81609,6846.0,31.054630441133508,20.97575226409582
J81616,1994.0,82.64794383149449,4.212637913741224
J81648,3066.0,65.88388780169602,15.753424657534246
J83003,4935.0,77.99392097264437,3.8297872340425534
J83005,4777.0,35.64998953317982,17.96106342893029
J83007,7070.0,55.96888260254597,23.35219236209335
J83009,7234.0,49.37793751727951,11.57036217860105
J83010,5905.0,49.75444538526672,11.837425910245555
J83011,5159.0,45.047489823609226,5.543710021321962
J83030,7905.0,34.35800126502214,8.88045540796964
J83033,8825.0,77.05382436260624,7.354107648725212
J83034,4361.0,72.62095849575785,18.75716578766338
J83037,9545.0,76.7522262964903,5.081194342587742
J83039,5556.0,60.871130309575236,11.339092872570195
J83041,9168.0,62.521815008726,6.18455497382199
J83042,8832.0,76.7776268115942,11.152626811594203
J83045,5371.0,80.74846397318935,6.051014708620369
J83052,7664.0,70.88987473903967,13.700417536534447
J83055,6025.0,61.27800829875519,11.850622406639005
J83056,3546.0,60.63169768753525,9.22165820642978
J83057,14791.0,52.22770603745521,11.26360624704212
J83601,2341.0,73.17385732592909,10.252029047415634
J83609,2791.0,42.49372984593336,9.029021855965604
J83625,3743.0,85.94710125567727,3.686882180069463
K84012,4253.0,67.38772631083941,10.322125558429343
L81004,6703.0,66.97001342682381,10.308816947635387
L81009,6106.0,65.16541107107763,5.224369472649853
L81013,9740.0,32.84394250513347,4.9897330595482545
L81015,6623.0,61.965876491016154,11.70164577985807
L81018,4313.0,76.79109668444238,4.312543473220496
L81019,5926.0,51.501856226797166,20.06412419844752
L81020,2646.0,71.27739984882842,13.756613756613756
L81022,10517.0,58.838071693448704,13.007511647808311
L81024,5637.0,67.1811247117261,8.763526698598545
L81025,10587.0,33.30499669405875,21.375271559459716
L81026,14087.0,44.821466600411725,8.859231915950877
L81027,6778.0,50.0,11.30126881085866
L81029,6058.0,79.36612743479697,3.664575767580059
L81031,10575.0,36.9645390070922,9.966903073286051
L81033,7564.0,26.110523532522475,26.9169751454257
L81034,23867.0,52.901495789164954,13.474672141450538
L81038,4765.0,74.29171038824764,4.575026232948583
L81040,7428.0,69.96499730748519,9.787291330102315
L81041,4822.0,54.3135628369971,8.108668602239735
L81051,14486.0,36.31782410603341,8.939665884302086
L81053,4043.0,72.5204056393767,8.384862725698738
L81061,3864.0,67.72774327122153,8.618012422360248
L81062,8498.0,45.89315132972464,7.8842080489526944
L81070,3911.0,64.61263104065456,5.574021989261059
L81078,11310.0,59.16887709991158,5.658709106984969
L81082,5236.0,49.980901451489686,9.950343773873186
L81084,4291.0,60.14914938242834,6.338848753204381
L81087,9110.0,37.8814489571899,27.958287596048297
L81098,7770.0,76.37065637065638,3.1274131274131274
L81103,6291.0,44.539818788745826,7.709426164361787
L81125,3011.0,56.4596479574892,12.188641647293258
L81130,9673.0,20.252248526827252,9.200868396567765
L81131,4860.0,63.148148148148145,3.950617283950617
L81642,3593.0,78.76426384636794,4.313943779571389
L82003,4613.0,66.78950791242141,6.806850205939735
L82006,9957.0,63.6637541428141,5.594054434066486
L82007,4431.0,36.222071767095464,21.913789212367412
L82010,10561.0,50.93267682984566,15.82236530631569
L82011,4365.0,60.824742268041234,8.43069873997709
L82012,8814.0,61.86748354889948,6.137962332652598
L82015,5103.0,71.17381932196747,7.740544777581815
L82016,7852.0,69.01426388181355,4.45746306673459
L82023,6044.0,48.44473858371939,10.572468563864991
L82030,8243.0,61.59165352420236,8.771078490840713
L82035,6512.0,54.20761670761671,9.305896805896806
L82036,7827.0,54.107576338316086,22.35850261913888
L82042,9447.0,14.671324229914259,11.02995659997883
L82043,3015.0,78.24212271973467,2.056384742951907
L82046,5906.0,45.59769725702675,8.042668472739587
L82051,7315.0,73.69788106630212,9.213943950786057
L82052,3725.0,80.26845637583892,8.483221476510067
L82059,3787.0,65.51359915500396,8.846052284129918
L82068,3996.0,60.86086086086086,6.581581581581582
L83005,10049.0,57.707234550701564,8.936212558463529
L83008,14909.0,36.709370179086456,6.660406465893085
L83010,4595.0,63.264417845484225,19.54298150163221
L83011,5669.0,58.07020638560593,8.537660963132828
L83016,17090.0,53.054417788180224,6.723229959040374
L83023,3531.0,82.58283772302464,4.333050127442651
L83029,4981.0,45.77394097570769,6.665328247339891
L83030,5735.0,71.40366172624238,10.77593722755013
L83031,5845.0,54.42258340461933,15.449101796407186
L83034,6779.0,58.88774155480159,19.6931700840832
L83035,7437.0,82.38537044507194,2.837165523732688
L83038,6629.0,81.46025041484387,3.2282395534771458
L83040,8048.0,59.915506958250496,8.610834990059642
L83043,7589.0,58.360785347213074,15.733298194755568
L83044,5487.0,43.95844723892838,22.14324767632586
L83045,7216.0,61.391352549889135,14.883592017738358
L83050,7811.0,72.89719626168224,3.4438612213545
L83056,16106.0,44.18229231342357,5.681112628833975
L83058,4486.0,77.73071778867588,9.362460989745877
L83059,4949.0,63.265306122448976,8.567387350979995
L83066,7661.0,50.17621720402036,8.71948831745203
L83067,8307.0,68.08715541109908,13.41037679065848
L83069,11693.0,31.591550500299324,21.440177884204225
L83075,3156.0,76.61596958174906,9.727503168567807
L83076,5744.0,73.18941504178272,7.816852367688022
L83082,2098.0,77.02573879885605,3.145853193517636
L83083,5913.0,67.8166751226112,5.986808726534754
L83086,3024.0,77.08333333333333,5.158730158730159
L83087,6026.0,34.84898771988052,20.776634583471623
L83096,10594.0,51.30262412686426,19.13347177647725
L83097,5997.0,60.86376521594131,20.193430048357513
L83099,2919.0,73.75813634806441,9.558067831449126
L83100,16299.0,44.708264310693906,5.84084913184858
L83116,2409.0,75.79908675799086,3.8605230386052303
L83120,14176.0,42.88939051918736,5.586907449209932
L83127,8251.0,37.88631681008363,5.247848745606593
L83128,5136.0,62.324766355140184,16.25778816199377
L83129,1578.0,71.67300380228137,2.661596958174905
L83131,11908.0,38.427947598253276,33.4145112529392
L83607,4040.0,54.33168316831683,9.158415841584159
L83624,3272.0,49.2359413202934,30.470660146699267
L83628,4583.0,64.06284093388611,10.71350643683177
L84003,5192.0,71.37904468412943,5.527734976887519
L84004,3237.0,60.24096385542169,12.696941612604263
L84005,5454.0,79.95966263292996,6.582324899156582
L84006,3400.0,73.41176470588235,7.764705882352941
L84007,6060.0,75.99009900990099,3.927392739273927
L84011,4667.0,70.02356974501821,8.227983715448897
L84014,5467.0,59.9414669837205,8.944576550210353
L84015,5025.0,59.54228855721393,9.552238805970148
L84021,5623.0,62.61781966921572,9.478925840298773
L84026,17492.0,25.5373885204665,7.34049851360622
L84028,8031.0,59.07109948947827,19.83563690698543
L84031,4079.0,68.20299092914931,11.890169159107625
L84037,8174.0,32.407633961340835,15.353560068509909
L84038,5458.0,68.81641626969586,5.551484060095273
